License Code,License Name,URL
0BSD,0-clause BSD License,https://opensource.org/licenses/0BSD
BSD-1-Clause,1-clause BSD License,https://opensource.org/licenses/BSD-1-Clause
BSD-2-Clause,2-clause BSD License,https://opensource.org/licenses/BSD-2-Clause
BSD-3-Clause,3-clause BSD License,https://opensource.org/licenses/BSD-3-Clause
AFL-3.0,Academic Free License 3.0,https://opensource.org/licenses/AFL-3.0
APL-1.0,Adaptive Public License,https://opensource.org/licenses/APL-1.0
Apache-1.1,Apache Software License 1.1,https://opensource.org/licenses/Apache-1.1
Apache-2.0,Apache License 2.0,https://opensource.org/licenses/Apache-2.0
APSL-2.0,Apple Public Source License,https://opensource.org/licenses/APSL-2.0
Artistic-1.0,Artistic License 1.0,https://opensource.org/licenses/Artistic-1.0
Artistic-2.0,Artistic License 2.0,https://opensource.org/licenses/Artistic-2.0
AAL,Attribution Assurance License,https://opensource.org/licenses/AAL
BSL-1.0,Boost Software License,https://opensource.org/licenses/BSD-1-Clause
BSD-3-Clause-LBNL,BSD-3-Clause,https://opensource.org/licenses/0BSD
BSD-2-Clause-Patent,BSD+Patent,https://opensource.org/licenses/BSDplusPatent
CECILL-2.1,CeCILL License 2.1,https://opensource.org/licenses/CECILL-2.1
CDDL-1.0,Common Development and Distribution License 1.0,https://opensource.org/licenses/CDDL-1.0
CPAL-1.0,Common Public Attribution License,https://opensource.org/licenses/CPAL-1.0
CPL-1.0,Common Public License,https://opensource.org/licenses/CPL-1.0
CATOSL-1.1,Computer Associates Trusted Open Source License,https://opensource.org/licenses/CATOSL-1.1
CAL-1.0,Cryptographic Autonomy License,https://opensource.org/licenses/CAL-1.0
CUA-OPL-1.0,CUA Office Public License Version 1.0,https://opensource.org/licenses/CUA-OPL-1.0
EPL-1.0,Eclipse Public License 1.0,https://opensource.org/licenses/EPL-1.0
EPL-2.0,Eclipse Public License 2.0,https://opensource.org/licenses/EPL-2.0
eCos-2.0,eCos License Version 2.0,https://opensource.org/licenses/eCos-2.0
ECL-1.0,"Educational Community License, Version 1.0",https://opensource.org/licenses/ECL-1.0
ECL-2.0,"Educational Community License, Version 2.0",https://opensource.org/licenses/ECL-2.0
EFL-1.0,Eiffel Forum License V1.0,https://opensource.org/licenses/EFL-1.0
EFL-2.0,Eiffel Forum License V2.0,https://opensource.org/licenses/EFL-2.0
Entessa,Entessa Public License,https://opensource.org/licenses/Entessa
EUDatagrid,EU DataGrid Software License,https://opensource.org/licenses/EUDatagrid
EUPL-1.2,European Union Public License 1.2,https://opensource.org/licenses/EUPL-1.1
Fair,Fair License,https://opensource.org/licenses/Fair
Frameworx-1.0,Frameworx License,https://opensource.org/licenses/Frameworx-1.0
AGPL-3.0,GNU Affero General Public License version 3,https://opensource.org/licenses/AGPL-3.0
